"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U2";"QFN-8_MP9943_MNP";2;"MP9943GQ-Z";;;
2;"C10,C22,C4,C12,C20,C26,C5,C24,C23,C31,C21,C19,C25";"C_0402_1005Metric";13;"100nF";;;
3;"R1,R4,R3,R2";"R_0402_1005Metric";4;"100KΩ";;;
4;"R18,R5";"R_0402_1005Metric";2;"20Ω";;;
5;"R14,R15";"R_0402_1005Metric";2;"5.1KΩ";;;
6;"IC2";"QFP50P1200X1200X160-64N";1;"STM32F722RET6";;;
7;"R22";"R_0402_1005Metric";1;"5.23KΩ";;;
8;"R21,R7";"R_0402_1005Metric";2;"41.2KΩ";;;
9;"R20";"R_0402_1005Metric";1;"3.92KΩ";;;
10;"R19,R6";"R_0402_1005Metric";2;"51KΩ";;;
11;"R17,R16";"R_0402_1005Metric";2;"10KΩ";;;
12;"R13";"R_0402_1005Metric";1;"33Ω";;;
13;"R12";"R_0402_1005Metric";1;"300Ω";;;
14;"R11";"R_0402_1005Metric";1;"150Ω";;;
15;"R10,R9";"R_0402_1005Metric";2;"22Ω";;;
16;"R8";"R_0402_1005Metric";1;"7.5KΩ";;;
17;"C32,C29,C28,C27,C9,C8";"C_0603_1608Metric";6;"1μF";;;
18;"C30,C3,C11,C13,C14,C1,C2";"C_0805_2012Metric";7;"10μF";;;
19;"SW2";"SW_Push_1P1T-SH_NO_CK_KMR2xxG";1;"KMR221GLFS";;;
20;"J6";"GCT_USB4105-GF-A-060";1;"USB4105-GF-A-060";;;
21;"J2";"JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal";1;"JST SM08B-SRSS-TB(LF)(SN)";;;
22;"D3";"LED_0603_1608Metric";1;"YLED0603YG";;;
23;"C15,C7,C6,C16";"C_0805_2012Metric";4;"22μF";;;
24;"C35,C36";"C_0402_1005Metric";2;"20pF";;;
25;"D4";"LED_0603_1608Metric";1;"YLED0603R";;;
26;"IC3";"SOIC127P790X216-8N";1;"W25Q128JVSIQ";;;
27;"L2,L1";"L_2010_5025Metric";2;"10μH";;;
28;"D1";"QFN50P300X250X78-14N";1;"ICM-45686";;;
29;"U3";"SOT-666";1;"USBLC6-2P6";;;
30;"FB1";"L_0603_1608Metric";1;"FCM1608KF-601T03";;;
31;"Y2";"X322525MOB4SI";1;"X322525MOB4SI";;;
32;"U1";"BMP581";1;"BMP581";;;
33;"Q1";"SOT95P280X125-5N";1;"TPRT9013-33GB";;;
34;"D5";"LED_0603_1608Metric";1;"YLED0603G";;;
35;"D2";"SOT-23";1;"BAT54C";;;
